,Name,Gender,DOB,Name Of Area,Pincode,Latitude ,Longitude,Flexibility,Body Composition,Composition Percentage,Interactiveness,Workout Frequency,Workout Mode Preferred,is_sports_enthusiast,like_to_be_mentored,like_to_mentor,fitness_goal_to_be achieved,addons in session,Height_in_cms,Age
299,Dasya Saini,Male,1989-05-26,Kondhwa Lh B.O,411048,18.48028,73.89846999999997,1,Fitness,14,3,Monday To Friday,Indoor,Yes,1,1,Build muscle,None,171,32
300,Navya Punj,Female,1984-10-11,Baner Road S.O,411007,18.55383,73.80216,5,Fitness,22,4,Daily,Indoor,Yes,4,1,Build muscle,Meditation,175,36
301,Kashvi Neela,Female,2000-09-17,Bajirao Road S.O,411002,18.50995,73.85375,5,Obese,40,2,3 days of week,Indoor,Yes,1,4,Build muscle,Both,165,20
302,Navya Nath,Female,1991-12-08,Pune Cantt East S.O,411001,18.5364,73.89394,1,Obese,40,4,Any Day of Week,Indoor,No,3,2,Improve athletic skills,Yoga,162,29
303,Rushil Meena,Male,1984-10-09,Vidyanagar S.O (Pune),411032,18.55284,73.95387,5,Essential Fat,6,1,Any Day of Week,Outdoor,Maybe,2,2,Build muscle,None,161,36
304,Aarav Sudha,Male,1998-07-24,Yamunanagar S.O,411044,18.60589,73.76143,3,Acceptable,23,1,Daily,Outdoor,Maybe,4,3,Build muscle,Meditation,164,22
305,Joseph Chauhan,Male,1992-07-20,Masulkar Colony S.O,411018,18.63374,73.8129,4,Essential Fat,6,5,Any Day of Week,Both,Maybe,1,2,Improve athletic skills,None,170,28
306,Larisa Raman,Female,1996-01-11,Hadpsar I.E. S.O,411013,18.50453,73.91255,1,Obese,40,5,Only Weekends,Outdoor,No,1,1,All,Yoga,162,25
307,Taara Swami,Female,1990-01-14,Botanical Garden S.O (Pune),411003,18.56354,73.82588,4,Athletes,21,3,3 days of week,Outdoor,Maybe,1,2,Mesomorph,Both,162,31
308,Akanksh Manju,Male,1988-11-06,AFMC S.O,411040,18.49267,73.90352,5,Obese,95,4,Daily,Outdoor,No,2,2,All,Yoga,164,32
309,Jash Samuel,Male,1983-04-09,Punawale B.O,411033,18.63172,73.73346,5,Acceptable,23,1,Monday To Friday,Both,No,1,5,Lose fat,Both,170,38
310,Rudra Shan,Male,1985-12-15,Film Institute S.O,411004,18.51806,73.83615,1,Obese,95,5,3 days of week,Indoor,Maybe,5,1,Improve athletic skills,Both,162,35
311,Aaradhya Lalit,Female,1984-07-20,Dr.B.A. Chowk S.O,411001,18.52484,73.87657,3,Acceptable,32,4,Daily,Outdoor,Yes,5,2,Improve athletic skills,Both,172,36
312,Kashvi Rastogi,Female,1992-08-23,Ghorpuri Bazar S.O,411001,18.5259,73.89545,2,Acceptable,32,5,Alternate Days,Both,Yes,1,2,Build muscle,None,167,28
313,Anika Muthu,Female,1987-08-24,Govt. Polytechnic S.O,411016,18.53048,73.83252,1,Acceptable,32,5,Monday To Friday,Both,Maybe,5,4,Build muscle,Yoga,169,33
314,Sahana Lata,Female,1986-03-14,Vidyanagar S.O (Pune),411032,18.55284,73.95387,2,Acceptable,32,1,Alternate Days,Both,Maybe,4,2,Lose fat,None,161,35
315,Neysa Srivas,Female,1988-01-27,Punawale B.O,411033,18.63172,73.73346,2,Acceptable,32,1,3 days of week,Indoor,No,5,2,Build muscle,Yoga,163,33
316,Rishit Pawan,Male,1998-09-26,Kasba Peth S.O,411011,18.5242,73.8578,3,Athletes,6,5,Monday To Friday,Outdoor,Maybe,1,5,Improve endurance/conditioning,Meditation,177,22
317,Nehrika Aggarwal,Female,1982-05-07,Bhusari Colony S.O,411038,18.50956,73.79646,2,Essential Fat,14,2,Any Day of Week,Both,No,3,1,Build muscle,Meditation,178,39
318,Mohammad Madan,Male,1995-10-04,Market Yard S.O (Pune),411037,18.48193,73.87425,2,Fitness,14,5,Daily,Indoor,Maybe,4,3,Build muscle,Yoga,163,25
319,Ira Raji,Female,1993-06-29,Dighi Camp S.O,411015,18.55284,73.95387,3,Essential Fat,14,5,3 days of week,Both,Yes,2,1,Improve endurance/conditioning,Yoga,168,27
320,Mahika Darsha,Female,1993-12-26,Sasanenagar S.O,411028,18.4747,73.93157,2,Acceptable,32,3,Only Weekends,Both,Yes,1,4,Lose fat,Yoga,175,27
321,Larisa Saini,Female,1982-03-28,Chinchwadgaon S.O,411033,18.63172,73.73346,2,Athletes,21,3,Monday To Friday,Both,Maybe,2,1,Improve endurance/conditioning,Yoga,165,39
322,Tanvi Saini,Female,1982-07-26,Deccan Gymkhana S.O,411004,18.51806,73.83615,2,Obese,40,3,Monday To Friday,Both,No,3,2,Improve athletic skills,Both,163,38
323,Viti Bhatt,Female,1993-11-26,Pune R.S. S.O,411001,18.5114,73.87722,1,Athletes,21,2,3 days of week,Both,Yes,2,4,Improve endurance/conditioning,None,168,27
324,Navya Swami,Female,1998-04-16,Indrayaninagar S.O,411026,18.62923,73.83431999999998,1,Acceptable,32,2,3 days of week,Indoor,No,1,1,Mesomorph,Both,172,23
325,Rushil Mahajan,Male,1991-10-11,Karvenagar S.O,411052,18.49,73.82244,1,Athletes,6,5,Alternate Days,Outdoor,Maybe,1,4,Improve athletic skills,None,168,29
326,Mehar Narang,Female,1982-12-18,Yerwada S.O,411006,18.56318,73.87742,3,Athletes,21,3,Any Day of Week,Outdoor,Maybe,3,3,Build muscle,None,165,38
327,Kahaan Nagpal,Male,1988-11-09,Dighi Camp S.O,411015,18.55284,73.95387,5,Acceptable,23,2,Alternate Days,Outdoor,Yes,1,1,Improve athletic skills,None,178,32
328,Vihaan Arun,Male,1987-09-26,Shivajinagar S.O (Pune),411005,18.52022,73.84337,2,Athletes,6,1,Alternate Days,Outdoor,Maybe,3,2,Lose fat,Both,173,33
329,Shrishti Rajan,Female,1984-08-17,Parvati S.O,411009,18.49631,73.85621,2,Fitness,22,5,Any Day of Week,Indoor,Yes,3,4,Lose fat,Yoga,174,36
330,Ayaan Chandrasekar,Male,1997-03-24,Film Institute S.O,411004,18.51806,73.83615,3,Fitness,14,4,Only Weekends,Indoor,No,1,5,Improve endurance/conditioning,Both,162,24
331,Viti Gandhi,Female,2003-11-29,Film Institute S.O,411004,18.51806,73.83615,2,Athletes,21,5,Alternate Days,Indoor,Yes,5,4,Improve athletic skills,Both,164,17
332,Yug Jai,Male,1985-02-13,Nana Peth S.O,411002,18.51009,73.85672,1,Obese,95,4,Alternate Days,Both,Yes,3,5,Build muscle,None,177,36
333,Shrishti Neel,Female,1984-09-20,Kothrud S.O,411038,18.50767,73.78967,5,Acceptable,32,3,Monday To Friday,Both,No,1,2,Lose fat,Meditation,173,36
334,Rohan Saxena,Male,1985-06-11,Lokmanyanagar S.O,411030,18.50825,73.84405,4,Fitness,14,4,Any Day of Week,Both,Yes,5,3,All,Meditation,175,35
335,Ishank Srivastav,Male,1987-04-08,Warje S.O,411058,18.48029,73.79853,2,Obese,95,3,Daily,Outdoor,Yes,3,5,Build muscle,Both,173,34
336,Sneha Swami,Female,1982-09-08,Nana Peth S.O,411002,18.51009,73.85672,1,Athletes,21,1,Only Weekends,Both,Maybe,5,3,All,None,168,38
337,Yug Lata,Male,1990-07-28,Dapodi Bazar S.O,411012,18.57995,73.82783,4,Obese,95,4,Only Weekends,Outdoor,No,4,4,Mesomorph,Both,174,30
338,Kashvi Srivastava,Female,1995-11-05,P.C.N.T. S.O,411044,18.6554,73.76124,5,Essential Fat,14,5,Any Day of Week,Both,Yes,4,2,All,Both,166,25
339,Rudra Chande,Male,1999-02-21,Ghorpuri Bazar S.O,411001,18.5259,73.89545,4,Fitness,14,3,3 days of week,Outdoor,No,5,5,Lose fat,Yoga,173,22
340,Vihaan Roy,Male,1991-03-02,Kalewadi B.O,411017,18.618920000000006,73.79878000000002,1,Athletes,6,5,3 days of week,Both,No,3,4,Improve endurance/conditioning,None,165,30
341,Rudra Mati,Male,2002-01-28,Pimpri Waghire S.O,411017,18.60132,73.78156,4,Acceptable,23,2,Monday To Friday,Both,Yes,1,1,Mesomorph,Meditation,174,19
342,Ishana Chaudhary,Female,1987-01-16,Khadki Arsenel S.O,411003,18.56312,73.84433,3,Athletes,21,3,Monday To Friday,Indoor,Maybe,2,4,Improve athletic skills,Meditation,167,34
343,Ayaan Neela,Male,1989-11-28,Nehrunagar S.O (Pune),411018,18.62728,73.8388,4,Acceptable,23,4,Any Day of Week,Both,No,1,3,Build muscle,Meditation,161,31
344,Rohan Samuel,Male,1983-08-06,Iaf Station S.O,411032,18.55284,73.95387,2,Athletes,6,3,Monday To Friday,Both,Yes,2,2,Lose fat,Both,167,37
345,Saisha Anand,Female,1998-11-06,Ammunition Factory Khadki S.O,411003,18.57295,73.86363,2,Obese,40,5,Only Weekends,Indoor,No,2,2,Mesomorph,None,160,22
346,Amoli Srivastava,Female,1992-09-25,Pune City H.O,411002,18.51377,73.85991,3,Obese,40,1,Only Weekends,Outdoor,Maybe,3,4,Mesomorph,Yoga,176,28
347,Rachit Raje,Male,1995-09-15,N.I.A. S.O,411045,18.55284,73.95387,1,Obese,95,3,Daily,Indoor,Maybe,5,1,Lose fat,Meditation,178,25
348,Saanvi Sara,Female,1982-03-06,Wanowarie S.O,411040,18.494770000000006,73.90127,2,Essential Fat,14,4,3 days of week,Indoor,Maybe,1,3,Improve athletic skills,None,164,39
349,Yash Anand,Male,1993-01-22,L.K. Path S.O,411003,18.54263,73.78494,5,Acceptable,23,2,Any Day of Week,Outdoor,Yes,5,4,Improve athletic skills,Meditation,175,28
350,Rebecca Madan,Female,1998-04-27,Kalewadi B.O,411017,18.618920000000006,73.79878000000002,2,Obese,40,1,Alternate Days,Both,Yes,4,4,Improve endurance/conditioning,Yoga,166,23
351,Bhuv Sahni,Male,1998-06-30,Punawale B.O,411033,18.63172,73.73346,2,Essential Fat,6,2,3 days of week,Outdoor,Maybe,3,2,All,None,166,22
352,Navya Malhotra,Female,1997-03-18,Dukirkline S.O,411014,18.60055,73.9608,1,Acceptable,32,3,Alternate Days,Both,Yes,3,3,Improve athletic skills,Both,177,24
353,Raunak Ranga,Male,1982-04-05,H.E. Factory S.O,411003,18.57295,73.86363,4,Athletes,6,5,Daily,Both,Maybe,4,1,Improve endurance/conditioning,Both,177,39
354,Aadiv Rai,Male,1992-11-14,Mundhva AV S.O,411036,18.53135,73.91478000000002,2,Essential Fat,6,5,Daily,Outdoor,Yes,1,2,All,Meditation,161,28
355,Vivaan Meena,Male,2001-10-14,Bhosarigoan S.O,411039,18.55284,73.95387,3,Fitness,14,4,Monday To Friday,Indoor,Maybe,4,4,Mesomorph,Meditation,174,19
356,Taara Aggarwal,Female,1998-11-01,Dighi Camp S.O,411015,18.55284,73.95387,4,Essential Fat,14,5,Daily,Outdoor,No,1,2,Lose fat,None,173,22
357,Aaradhya Neela,Female,1984-11-17,Ammunition Factory Khadki S.O,411003,18.57295,73.86363,5,Essential Fat,14,1,Daily,Both,Maybe,2,2,Improve athletic skills,Yoga,177,36
358,Reyansh Rajagopal,Male,1995-06-23,Wanowarie S.O,411040,18.494770000000006,73.90127,1,Acceptable,23,5,Alternate Days,Outdoor,Maybe,3,5,Improve endurance/conditioning,Meditation,168,25
359,Mehar Roy,Female,1988-09-22,Kothrud S.O,411038,18.50767,73.78967,5,Athletes,21,4,Monday To Friday,Outdoor,Yes,1,2,Mesomorph,None,173,32
360,Prisha Chandrasekar,Female,1987-01-14,Market Yard S.O (Pune),411037,18.48193,73.87425,4,Fitness,22,3,Daily,Both,Yes,5,2,Improve athletic skills,Yoga,164,34
361,Aarav Dhawan,Male,1986-08-22,Kondhwa Lh B.O,411048,18.48028,73.89846999999997,4,Obese,95,3,3 days of week,Indoor,Yes,5,3,Build muscle,Meditation,170,34
362,Sahana Nirmal,Female,1988-09-15,Deccan Gymkhana S.O,411004,18.51806,73.83615,4,Obese,40,5,Daily,Outdoor,Yes,3,2,Mesomorph,Meditation,167,32
363,Gian Manju,Male,1981-05-24,Khadakwasla R.S. S.O,411024,18.45597,73.78478,5,Essential Fat,6,2,Monday To Friday,Both,Yes,4,1,Improve athletic skills,None,164,40
364,Saanvi Swami,Female,1989-11-18,C D A (O) S.O,411001,18.57571,73.81074,4,Acceptable,32,3,Any Day of Week,Both,Yes,4,4,Mesomorph,Meditation,170,31
365,Pahal Lata,Male,1983-10-25,H.E. Factory S.O,411003,18.57295,73.86363,5,Acceptable,23,5,Monday To Friday,Outdoor,No,1,3,Lose fat,Both,164,37
366,Aadiv Sahni,Male,2002-09-16,Khadki Bazar S.O,411003,18.56312,73.84433,4,Obese,95,4,Alternate Days,Indoor,Maybe,4,2,Lose fat,Yoga,176,18
367,Aaradhya Rajan,Female,2000-08-31,Khadki Bazar S.O,411003,18.56312,73.84433,3,Fitness,22,5,Any Day of Week,Outdoor,Maybe,3,1,Lose fat,Yoga,163,20
368,Amoli Nigam,Female,2002-11-27,Pimpri P F S.O,411018,18.57571,73.81074,4,Athletes,21,3,3 days of week,Indoor,Maybe,1,4,All,Both,174,18
369,Larisa Malhotra,Female,1989-11-18,Chinchwad East S.O,411019,18.62815,73.8318,5,Fitness,22,4,Only Weekends,Indoor,No,2,3,Build muscle,None,178,31
370,Ishita Arun,Female,1995-10-06,Warje S.O,411058,18.48029,73.79853,2,Athletes,21,5,Monday To Friday,Indoor,Maybe,4,1,Lose fat,Both,161,25
371,Tanvi Narang,Female,2002-07-31,S.P. College S.O,411030,18.5282,73.84735,4,Obese,40,1,Alternate Days,Indoor,No,4,2,Build muscle,Both,176,18
372,Manan Sen,Male,1992-09-09,N.C.L. Pune S.O,411008,18.53658,73.7989,2,Athletes,6,4,3 days of week,Outdoor,No,1,5,Lose fat,Yoga,171,28
373,Anika Veena,Female,1988-06-07,Baner Road S.O,411007,18.55383,73.80216,3,Acceptable,32,1,Any Day of Week,Both,No,5,5,All,None,176,32
374,Atiksh Srivastava,Male,1987-06-29,Anandnagar S.O (Pune),411051,18.62981,73.84746,1,Essential Fat,6,2,3 days of week,Both,Maybe,4,3,Mesomorph,Meditation,169,33
375,Shrishti Sen,Female,1983-04-05,Range Hills S.O,411020,18.57462,73.82788000000002,3,Essential Fat,14,4,Monday To Friday,Both,No,3,1,Improve athletic skills,Both,177,38
376,Ishana Samuel,Female,1985-03-07,Yamunanagar S.O,411044,18.60589,73.76143,4,Obese,40,1,Daily,Both,Maybe,4,4,Improve athletic skills,Both,178,36
377,Zara Bhat,Female,2000-10-17,Khondhwa KH B.O,411048,18.45756,73.89339,2,Acceptable,32,3,Monday To Friday,Both,Maybe,2,1,Lose fat,None,177,20
378,Ishank Swami,Male,1999-05-24,Akurdi S.O,411035,18.76572,73.68905,2,Fitness,14,3,Only Weekends,Both,Yes,4,5,Improve athletic skills,Both,172,22
379,Jay Muthu,Male,1982-02-27,M.Phulenagar S.O,411019,28.5779,77.31541,5,Acceptable,23,2,Monday To Friday,Outdoor,Yes,5,3,Lose fat,None,173,39
380,Vihaan Sudha,Male,1993-06-21,Shukrawar Peth S.O (Pune),411002,18.51009,73.85672,2,Essential Fat,6,4,Any Day of Week,Indoor,No,4,2,Lose fat,Meditation,175,27
381,Nirav Pal,Male,1991-05-04,Range Hills S.O,411020,18.57462,73.82788000000002,5,Essential Fat,6,4,Any Day of Week,Both,No,1,1,Improve endurance/conditioning,None,177,30
382,Ishita Subram,Female,2002-03-27,Ammunition Factory Khadki S.O,411003,18.57295,73.86363,1,Acceptable,32,4,Monday To Friday,Outdoor,Maybe,4,5,Improve endurance/conditioning,Meditation,177,19
383,Navya Ranga,Female,1990-08-12,A.R. Shala S.O,411004,18.51806,73.83615,4,Acceptable,32,2,Any Day of Week,Both,No,5,4,Improve endurance/conditioning,None,175,30
384,Pranay Chandra,Male,1995-02-15,Pune Weather S.O,411005,18.53245,73.84654,5,Essential Fat,6,4,Daily,Both,No,1,3,Build muscle,Both,176,26
385,Idhant Vijaya,Male,1985-10-27,S.S.C.Exam Board S.O,411005,18.53245,73.84654,1,Fitness,14,3,3 days of week,Indoor,Maybe,3,2,Improve endurance/conditioning,Meditation,166,35
386,Mehar Nirmal,Female,1990-01-07,Film Institute S.O,411004,18.51806,73.83615,2,Obese,40,1,Monday To Friday,Indoor,No,1,1,Lose fat,Both,171,31
387,Avni Joshi,Female,1995-10-21,Khondhwa KH B.O,411048,18.45756,73.89339,2,Obese,40,3,Daily,Indoor,No,2,4,All,Meditation,161,25
388,Luv Nigam,Male,1990-03-28,Kondhwa Lh B.O,411048,18.48028,73.89846999999997,1,Acceptable,23,3,3 days of week,Both,Maybe,1,2,All,None,169,31
389,Viti Vijaya,Female,1997-05-16,Dr.B.A. Chowk S.O,411001,18.52484,73.87657,2,Obese,40,1,3 days of week,Both,Maybe,3,5,Mesomorph,None,164,24
390,Ishana Pal,Female,1996-10-04,Shivajinagar S.O (Pune),411005,18.52022,73.84337,1,Essential Fat,14,3,Daily,Both,Yes,4,5,Improve endurance/conditioning,None,162,24
391,Anika Goel,Female,1984-10-06,Vadgaon Sheri S.O,411014,18.542820000000006,73.92344,5,Essential Fat,14,2,Alternate Days,Indoor,Maybe,1,4,All,Yoga,178,36
392,Mayra Vish,Female,1986-09-15,Ganeshkhind S.O,411007,18.55144,73.82197,5,Acceptable,32,1,Monday To Friday,Outdoor,Yes,1,5,Improve endurance/conditioning,Yoga,172,34
393,Idhant Verma,Male,1981-08-31,Iaf Station S.O,411032,18.55284,73.95387,1,Acceptable,23,3,3 days of week,Both,No,1,3,Mesomorph,Meditation,171,39
394,Jay Chander,Male,1982-01-31,S.S.C.Exam Board S.O,411005,18.53245,73.84654,5,Acceptable,23,5,3 days of week,Both,Maybe,1,4,All,Yoga,162,39
395,Akanksh Engineer,Male,1985-02-23,Pune City H.O,411002,18.51377,73.85991,5,Fitness,14,3,Any Day of Week,Both,Maybe,3,5,Lose fat,None,165,36
396,Aarav Ganesh,Male,2003-02-26,Pune City H.O,411002,18.51377,73.85991,5,Obese,95,2,3 days of week,Outdoor,Maybe,5,1,Build muscle,Yoga,173,18
397,Kairav Gandhi,Male,1983-12-16,Bhavani Peth S.O,411042,18.506970000000006,73.87119,3,Acceptable,23,4,Daily,Both,No,5,5,Improve endurance/conditioning,Yoga,163,37
398,Rachit Rana,Male,1992-07-30,Pune New Bazar S.O,411001,18.53446,73.88304000000002,4,Athletes,6,3,3 days of week,Outdoor,Yes,1,3,All,Both,172,28
399,Sadhil Mehra,Male,1998-02-10,Pune H.O,411001,18.5358,73.891,2,Athletes,6,4,Alternate Days,Both,No,3,2,All,Meditation,178,23
400,Mirai Nirmal,Female,1987-03-13,Film Institute S.O,411004,18.51806,73.83615,3,Essential Fat,14,5,Monday To Friday,Outdoor,No,3,2,Mesomorph,Meditation,177,34
401,Anaisha Chande,Female,1982-02-27,S.S.C.Exam Board S.O,411005,18.53245,73.84654,5,Obese,40,3,Monday To Friday,Both,Maybe,1,5,Lose fat,Meditation,162,39
402,Parv Sandeep,Male,1998-09-15,Pune New Bazar S.O,411001,18.53446,73.88304000000002,1,Acceptable,23,1,3 days of week,Indoor,Yes,2,2,Improve athletic skills,Yoga,165,22
403,Taarush Chandrasekar,Male,1998-03-25,A.R. Shala S.O,411004,18.51806,73.83615,5,Athletes,6,4,Only Weekends,Indoor,No,1,5,All,None,175,23
404,Ira Sehgal,Female,2003-12-12,N.I.A. S.O,411045,18.55284,73.95387,4,Obese,40,5,Only Weekends,Indoor,Maybe,2,3,Build muscle,Both,162,17
405,Avni Rana,Female,1984-01-31,Airport S.O (Pune),411032,18.57956,73.88954,5,Essential Fat,14,1,Daily,Indoor,No,1,2,Mesomorph,Meditation,171,37
406,Dasya Nagpal,Male,1982-01-16,Parvati S.O,411009,18.49631,73.85621,1,Fitness,14,1,Only Weekends,Both,No,2,1,All,Yoga,178,39
407,Rishaan Chakrabarti,Male,1998-01-07,Dr.B.A. Chowk S.O,411001,18.52484,73.87657,4,Obese,95,1,Daily,Indoor,Maybe,2,5,All,None,178,23
408,Pahal Samuel,Male,2002-02-06,Vadgaon Budruk S.O,411041,18.45823,73.81821,5,Obese,95,1,Any Day of Week,Outdoor,Maybe,1,2,Mesomorph,Both,163,19
409,Dasya Narayan,Male,1991-05-12,S.P. College S.O,411030,18.5282,73.84735,4,Fitness,14,3,Daily,Indoor,Yes,2,3,Mesomorph,Both,160,30
410,Ishank Prasad,Male,2001-01-10,Dapodi Bazar S.O,411012,18.57995,73.82783,2,Obese,95,3,Only Weekends,Indoor,No,4,3,Improve endurance/conditioning,Meditation,161,20
411,Ved Vish,Male,1998-06-06,Deccan Gymkhana S.O,411004,18.51806,73.83615,2,Essential Fat,6,3,3 days of week,Indoor,Maybe,5,1,All,Meditation,172,22
412,Mirai Sehgal,Female,1989-12-01,Chinchwadgaon S.O,411033,18.63172,73.73346,5,Essential Fat,14,5,Any Day of Week,Both,Maybe,3,3,Improve athletic skills,None,172,31
413,Sarthak Kishore,Male,1987-03-13,N I B M S.O,411048,18.47298,73.89421,4,Fitness,14,5,Only Weekends,Indoor,Yes,2,3,Build muscle,Yoga,161,34
414,Rishaan Nara,Male,2001-01-24,Vadgaon Sheri S.O,411014,18.542820000000006,73.92344,1,Acceptable,23,5,Daily,Outdoor,Yes,2,2,Lose fat,None,178,20
415,Mehar Aggarwal,Female,1991-05-09,Parvati S.O,411009,18.49631,73.85621,5,Athletes,21,2,Alternate Days,Indoor,Maybe,3,5,Lose fat,Meditation,175,30
416,Mayra Jai,Female,2000-07-23,Pimpri P F S.O,411018,18.57571,73.81074,2,Acceptable,32,5,Monday To Friday,Indoor,Yes,2,4,Improve athletic skills,None,171,20
417,Ryka Muthu,Female,1987-01-17,N.I.A. S.O,411045,18.55284,73.95387,2,Obese,40,3,Only Weekends,Indoor,Maybe,3,3,Mesomorph,Yoga,160,34
418,Gian Chakrabarti,Male,2003-12-06,Vishrantwadi S.O,411015,18.60226,73.89806,5,Athletes,6,3,Daily,Outdoor,No,1,3,Mesomorph,Both,168,17
419,Kashvi Srivastav,Female,1997-06-29,Parvati Gaon S.O,411009,18.49631,73.85621,4,Fitness,22,2,Any Day of Week,Indoor,Yes,4,4,Mesomorph,Both,176,23
420,Kashvi Chande,Female,1998-08-21,Market Yard S.O (Pune),411037,18.48193,73.87425,2,Fitness,22,2,Only Weekends,Outdoor,No,4,3,All,Both,169,22
421,Larisa Chande,Female,1985-06-03,C M E S.O,411031,18.58289,73.8098,4,Athletes,21,5,Only Weekends,Outdoor,No,5,2,Mesomorph,Both,177,35
422,Rishit Kishore,Male,1986-06-30,Akurdi S.O,411035,18.76572,73.68905,2,Essential Fat,6,4,Monday To Friday,Indoor,No,2,2,Mesomorph,Meditation,178,34
423,Ved Veena,Male,1992-05-28,Rashtra Bhasha Bhavan S.O,411030,18.50942,73.84063,2,Athletes,6,2,Daily,Outdoor,Maybe,5,4,All,Meditation,166,28
424,Joseph Gandhi,Male,1985-03-25,Bajirao Road S.O,411002,18.50995,73.85375,3,Obese,95,1,Alternate Days,Both,No,1,3,All,Yoga,178,36
425,Zara Rai,Female,1989-11-04,Ammunition Factory Khadki S.O,411003,18.57295,73.86363,2,Essential Fat,14,3,Any Day of Week,Indoor,No,4,3,Improve athletic skills,Yoga,174,31
426,Drishti Lalit,Female,1997-01-01,Kapad Ganj S.O,411002,18.51378,73.86019,1,Fitness,22,1,Daily,Indoor,No,1,5,Improve endurance/conditioning,Yoga,168,24
427,Aarav Saini,Male,2002-05-08,Pimpri Colony S.O,411017,18.60755,73.78615,5,Athletes,6,3,Any Day of Week,Outdoor,Maybe,1,3,All,Yoga,169,19
428,Prisha Malhotra,Female,1984-10-05,Khadki Arsenel S.O,411003,18.56312,73.84433,5,Acceptable,32,3,Only Weekends,Outdoor,No,2,2,Build muscle,None,163,36
429,Kevin Meena,Male,2003-05-27,Anandnagar S.O (Pune),411051,18.62981,73.84746,4,Acceptable,23,2,Monday To Friday,Indoor,No,1,1,Mesomorph,Yoga,165,17
430,Kahaan Patel,Male,1984-08-04,Film Institute S.O,411004,18.51806,73.83615,2,Obese,95,2,Monday To Friday,Both,Yes,4,1,Improve endurance/conditioning,Both,163,36
431,Aahva Sharma,Male,2000-09-07,Pune City H.O,411002,18.51377,73.85991,1,Acceptable,23,1,3 days of week,Outdoor,Maybe,5,1,Lose fat,Both,164,20
432,Saisha Ganesh,Female,2002-12-23,C D A (O) S.O,411001,18.57571,73.81074,4,Athletes,21,3,Alternate Days,Outdoor,No,4,1,Improve athletic skills,Both,168,18
433,Saanvi Kapoor,Female,2002-11-30,Nehrunagar S.O (Pune),411018,18.62728,73.8388,3,Athletes,21,1,Monday To Friday,Both,Yes,2,3,Improve endurance/conditioning,None,171,18
434,Alex Pal,Male,1997-11-04,Sachapir Street S.O,411001,18.51141,73.87791999999997,4,Acceptable,23,4,Only Weekends,Both,Maybe,4,3,All,Yoga,167,23
435,Kaia Nirmal,Female,1995-03-09,Thathawade B.O,411033,18.63172,73.73346,4,Athletes,21,1,Alternate Days,Indoor,Maybe,3,5,Mesomorph,Both,164,26
436,Pahal Shan,Male,2001-08-10,Shivaji Housing Society S.O,411016,18.52501,73.82303,2,Obese,95,5,Daily,Both,Maybe,5,3,Mesomorph,Both,170,19
437,Adhira Neela,Female,1987-04-03,Pune R.S. S.O,411001,18.5114,73.87722,3,Essential Fat,14,1,Monday To Friday,Indoor,Maybe,3,1,Mesomorph,Both,170,34
438,Nirav Charan,Male,1997-07-19,Guruwar Peth S.O,411042,18.505470000000006,73.85951,4,Obese,95,5,Alternate Days,Both,Maybe,3,4,Improve endurance/conditioning,Both,172,23
439,Navya Chandra,Female,1989-04-23,Armament S.O,411021,18.56068,73.7626,1,Obese,40,5,Only Weekends,Outdoor,Maybe,2,4,Mesomorph,Meditation,173,32
440,Taksh Goel,Male,1985-09-26,Pimpri Waghire S.O,411017,18.60132,73.78156,1,Athletes,6,5,3 days of week,Indoor,No,1,2,All,Yoga,167,35
441,Asmee Rana,Female,1987-08-22,Bajirao Road S.O,411002,18.50995,73.85375,5,Essential Fat,14,4,Any Day of Week,Indoor,No,3,2,Improve endurance/conditioning,Yoga,177,33
442,Kabir Malik,Male,1988-02-02,N.C.L. Pune S.O,411008,18.53658,73.7989,3,Athletes,6,1,Any Day of Week,Indoor,No,4,3,Mesomorph,None,178,33
443,Pahal Subram,Male,1992-04-17,Iaf Station S.O,411032,18.55284,73.95387,3,Fitness,14,1,Only Weekends,Both,No,1,4,Lose fat,Meditation,171,29
444,Navya Rai,Female,1998-01-20,Range Hills S.O,411020,18.57462,73.82788000000002,5,Athletes,21,4,Only Weekends,Outdoor,Yes,4,1,Lose fat,None,171,23
445,Yug Rajagopal,Male,1999-07-05,Nehrunagar S.O (Pune),411018,18.62728,73.8388,4,Athletes,6,3,Any Day of Week,Indoor,No,4,1,Build muscle,Both,177,21
446,Avni Chandrasekar,Female,1981-07-14,Ghorpade Peth S.O,411042,18.50139,73.86309,3,Athletes,21,2,3 days of week,Indoor,Maybe,1,1,Mesomorph,None,169,39
447,Asmee Goel,Female,1983-12-29,Bhosari I.E. S.O,411026,18.55284,73.95387,1,Essential Fat,14,1,Alternate Days,Indoor,No,1,3,Mesomorph,Both,166,37
448,Sahana Nita,Female,1981-11-19,Hadpsar I.E. S.O,411013,18.50453,73.91255,1,Athletes,21,2,Any Day of Week,Indoor,No,4,3,Improve endurance/conditioning,Both,177,39
449,Hem Veer,Male,1986-07-04,Punawale B.O,411033,18.63172,73.73346,2,Essential Fat,6,4,Only Weekends,Outdoor,Maybe,2,5,Improve endurance/conditioning,Yoga,171,34
450,Anaisha Chandra,Female,1981-03-19,Wanowarie S.O,411040,18.494770000000006,73.90127,3,Acceptable,32,3,Monday To Friday,Both,No,5,1,Mesomorph,Yoga,173,40
