,Name,Gender,DOB,Name Of Area,Pincode,Latitude ,Longitude
301,Kashvi Neela,Female,2000-09-17,Bajirao Road S.O,411002,18.50995,73.85375
302,Navya Nath,Female,1991-12-08,Pune Cantt East S.O,411001,18.5364,73.89394
303,Rushil Meena,Male,1984-10-09,Vidyanagar S.O (Pune),411032,18.55284,73.95387
304,Aarav Sudha,Male,1998-07-24,Yamunanagar S.O,411044,18.60589,73.76143
305,Joseph Chauhan,Male,1992-07-20,Masulkar Colony S.O,411018,18.63374,73.8129
306,Larisa Raman,Female,1996-01-11,Hadpsar I.E. S.O,411013,18.50453,73.91255
307,Taara Swami,Female,1990-01-14,Botanical Garden S.O (Pune),411003,18.56354,73.82588
308,Akanksh Manju,Male,1988-11-06,AFMC S.O,411040,18.49267,73.90352
309,Jash Samuel,Male,1983-04-09,Punawale B.O,411033,18.63172,73.73346
310,Rudra Shan,Male,1985-12-15,Film Institute S.O,411004,18.518060000000002,73.83615
311,Aaradhya Lalit,Female,1984-07-20,Dr.B.A. Chowk S.O,411001,18.52484,73.87657
312,Kashvi Rastogi,Female,1992-08-23,Ghorpuri Bazar S.O,411001,18.5259,73.89545
313,Anika Muthu,Female,1987-08-24,Govt. Polytechnic S.O,411016,18.530479999999997,73.83252
314,Sahana Lata,Female,1986-03-14,Vidyanagar S.O (Pune),411032,18.55284,73.95387
315,Neysa Srivas,Female,1988-01-27,Punawale B.O,411033,18.63172,73.73346
316,Rishit Pawan,Male,1998-09-26,Kasba Peth S.O,411011,18.5242,73.8578
317,Nehrika Aggarwal,Female,1982-05-07,Bhusari Colony S.O,411038,18.50956,73.79646
318,Mohammad Madan,Male,1995-10-04,Market Yard S.O (Pune),411037,18.48193,73.87425
319,Ira Raji,Female,1993-06-29,Dighi Camp S.O,411015,18.55284,73.95387
320,Mahika Darsha,Female,1993-12-26,Sasanenagar S.O,411028,18.4747,73.93157
321,Larisa Saini,Female,1982-03-28,Chinchwadgaon S.O,411033,18.63172,73.73346
322,Tanvi Saini,Female,1982-07-26,Deccan Gymkhana S.O,411004,18.518060000000002,73.83615
323,Viti Bhatt,Female,1993-11-26,Pune R.S. S.O,411001,18.5114,73.87722
324,Navya Swami,Female,1998-04-16,Indrayaninagar S.O,411026,18.62923,73.83431999999999
325,Rushil Mahajan,Male,1991-10-11,Karvenagar S.O,411052,18.49,73.82244
326,Mehar Narang,Female,1982-12-18,Yerwada S.O,411006,18.56318,73.87742
327,Kahaan Nagpal,Male,1988-11-09,Dighi Camp S.O,411015,18.55284,73.95387
328,Vihaan Arun,Male,1987-09-26,Shivajinagar S.O (Pune),411005,18.520220000000002,73.84337
329,Shrishti Rajan,Female,1984-08-17,Parvati S.O,411009,18.49631,73.85621
330,Ayaan Chandrasekar,Male,1997-03-24,Film Institute S.O,411004,18.518060000000002,73.83615
331,Viti Gandhi,Female,2003-11-29,Film Institute S.O,411004,18.518060000000002,73.83615
332,Yug Jai,Male,1985-02-13,Nana Peth S.O,411002,18.510089999999998,73.85672
333,Shrishti Neel,Female,1984-09-20,Kothrud S.O,411038,18.50767,73.78967
334,Rohan Saxena,Male,1985-06-11,Lokmanyanagar S.O,411030,18.50825,73.84405
335,Ishank Srivastav,Male,1987-04-08,Warje S.O,411058,18.48029,73.79853
336,Sneha Swami,Female,1982-09-08,Nana Peth S.O,411002,18.510089999999998,73.85672
337,Yug Lata,Male,1990-07-28,Dapodi Bazar S.O,411012,18.57995,73.82783
338,Kashvi Srivastava,Female,1995-11-05,P.C.N.T. S.O,411044,18.6554,73.76124
339,Rudra Chande,Male,1999-02-21,Ghorpuri Bazar S.O,411001,18.5259,73.89545
340,Vihaan Roy,Male,1991-03-02,Kalewadi B.O,411017,18.618920000000003,73.79878000000001
341,Rudra Mati,Male,2002-01-28,Pimpri Waghire S.O,411017,18.60132,73.78156
342,Ishana Chaudhary,Female,1987-01-16,Khadki Arsenel S.O,411003,18.56312,73.84433
343,Ayaan Neela,Male,1989-11-28,Nehrunagar S.O (Pune),411018,18.62728,73.8388
344,Rohan Samuel,Male,1983-08-06,Iaf Station S.O,411032,18.55284,73.95387
345,Saisha Anand,Female,1998-11-06,Ammunition Factory Khadki S.O,411003,18.57295,73.86363
346,Amoli Srivastava,Female,1992-09-25,Pune City H.O,411002,18.51377,73.85991
347,Rachit Raje,Male,1995-09-15,N.I.A. S.O,411045,18.55284,73.95387
348,Saanvi Sara,Female,1982-03-06,Wanowarie S.O,411040,18.494770000000003,73.90127
349,Yash Anand,Male,1993-01-22,L.K. Path S.O,411003,18.54263,73.78494
350,Rebecca Madan,Female,1998-04-27,Kalewadi B.O,411017,18.618920000000003,73.79878000000001
351,Bhuv Sahni,Male,1998-06-30,Punawale B.O,411033,18.63172,73.73346
352,Navya Malhotra,Female,1997-03-18,Dukirkline S.O,411014,18.60055,73.9608
353,Raunak Ranga,Male,1982-04-05,H.E. Factory S.O,411003,18.57295,73.86363
354,Aadiv Rai,Male,1992-11-14,Mundhva AV S.O,411036,18.53135,73.91478000000001
355,Vivaan Meena,Male,2001-10-14,Bhosarigoan S.O,411039,18.55284,73.95387
356,Taara Aggarwal,Female,1998-11-01,Dighi Camp S.O,411015,18.55284,73.95387
357,Aaradhya Neela,Female,1984-11-17,Ammunition Factory Khadki S.O,411003,18.57295,73.86363
358,Reyansh Rajagopal,Male,1995-06-23,Wanowarie S.O,411040,18.494770000000003,73.90127
359,Mehar Roy,Female,1988-09-22,Kothrud S.O,411038,18.50767,73.78967
360,Prisha Chandrasekar,Female,1987-01-14,Market Yard S.O (Pune),411037,18.48193,73.87425
361,Aarav Dhawan,Male,1986-08-22,Kondhwa Lh B.O,411048,18.48028,73.89846999999999
362,Sahana Nirmal,Female,1988-09-15,Deccan Gymkhana S.O,411004,18.518060000000002,73.83615
363,Gian Manju,Male,1981-05-24,Khadakwasla R.S. S.O,411024,18.45597,73.78478
364,Saanvi Swami,Female,1989-11-18,C D A (O) S.O,411001,18.57571,73.81074
365,Pahal Lata,Male,1983-10-25,H.E. Factory S.O,411003,18.57295,73.86363
366,Aadiv Sahni,Male,2002-09-16,Khadki Bazar S.O,411003,18.56312,73.84433
367,Aaradhya Rajan,Female,2000-08-31,Khadki Bazar S.O,411003,18.56312,73.84433
368,Amoli Nigam,Female,2002-11-27,Pimpri P F S.O,411018,18.57571,73.81074
369,Larisa Malhotra,Female,1989-11-18,Chinchwad East S.O,411019,18.62815,73.8318
370,Ishita Arun,Female,1995-10-06,Warje S.O,411058,18.48029,73.79853
371,Tanvi Narang,Female,2002-07-31,S.P. College S.O,411030,18.5282,73.84735
372,Manan Sen,Male,1992-09-09,N.C.L. Pune S.O,411008,18.536579999999997,73.7989
373,Anika Veena,Female,1988-06-07,Baner Road S.O,411007,18.553829999999998,73.80216
374,Atiksh Srivastava,Male,1987-06-29,Anandnagar S.O (Pune),411051,18.62981,73.84746
375,Shrishti Sen,Female,1983-04-05,Range Hills S.O,411020,18.57462,73.82788000000001
376,Ishana Samuel,Female,1985-03-07,Yamunanagar S.O,411044,18.60589,73.76143
377,Zara Bhat,Female,2000-10-17,Khondhwa KH B.O,411048,18.45756,73.89339
378,Ishank Swami,Male,1999-05-24,Akurdi S.O,411035,18.76572,73.68905
379,Jay Muthu,Male,1982-02-27,M.Phulenagar S.O,411019,28.5779,77.31541
380,Vihaan Sudha,Male,1993-06-21,Shukrawar Peth S.O (Pune),411002,18.510089999999998,73.85672
381,Nirav Pal,Male,1991-05-04,Range Hills S.O,411020,18.57462,73.82788000000001
382,Ishita Subram,Female,2002-03-27,Ammunition Factory Khadki S.O,411003,18.57295,73.86363
383,Navya Ranga,Female,1990-08-12,A.R. Shala S.O,411004,18.518060000000002,73.83615
384,Pranay Chandra,Male,1995-02-15,Pune Weather S.O,411005,18.53245,73.84654
385,Idhant Vijaya,Male,1985-10-27,S.S.C.Exam Board S.O,411005,18.53245,73.84654
386,Mehar Nirmal,Female,1990-01-07,Film Institute S.O,411004,18.518060000000002,73.83615
387,Avni Joshi,Female,1995-10-21,Khondhwa KH B.O,411048,18.45756,73.89339
388,Luv Nigam,Male,1990-03-28,Kondhwa Lh B.O,411048,18.48028,73.89846999999999
389,Viti Vijaya,Female,1997-05-16,Dr.B.A. Chowk S.O,411001,18.52484,73.87657
390,Ishana Pal,Female,1996-10-04,Shivajinagar S.O (Pune),411005,18.520220000000002,73.84337
391,Anika Goel,Female,1984-10-06,Vadgaon Sheri S.O,411014,18.542820000000003,73.92344
392,Mayra Vish,Female,1986-09-15,Ganeshkhind S.O,411007,18.55144,73.82197
393,Idhant Verma,Male,1981-08-31,Iaf Station S.O,411032,18.55284,73.95387
394,Jay Chander,Male,1982-01-31,S.S.C.Exam Board S.O,411005,18.53245,73.84654
395,Akanksh Engineer,Male,1985-02-23,Pune City H.O,411002,18.51377,73.85991
396,Aarav Ganesh,Male,2003-02-26,Pune City H.O,411002,18.51377,73.85991
397,Kairav Gandhi,Male,1983-12-16,Bhavani Peth S.O,411042,18.506970000000003,73.87119
398,Rachit Rana,Male,1992-07-30,Pune New Bazar S.O,411001,18.53446,73.88304000000001
399,Sadhil Mehra,Male,1998-02-10,Pune H.O,411001,18.5358,73.891
400,Mirai Nirmal,Female,1987-03-13,Film Institute S.O,411004,18.518060000000002,73.83615
401,Anaisha Chande,Female,1982-02-27,S.S.C.Exam Board S.O,411005,18.53245,73.84654
402,Parv Sandeep,Male,1998-09-15,Pune New Bazar S.O,411001,18.53446,73.88304000000001
403,Taarush Chandrasekar,Male,1998-03-25,A.R. Shala S.O,411004,18.518060000000002,73.83615
404,Ira Sehgal,Female,2003-12-12,N.I.A. S.O,411045,18.55284,73.95387
405,Avni Rana,Female,1984-01-31,Airport S.O (Pune),411032,18.57956,73.88954
406,Dasya Nagpal,Male,1982-01-16,Parvati S.O,411009,18.49631,73.85621
407,Rishaan Chakrabarti,Male,1998-01-07,Dr.B.A. Chowk S.O,411001,18.52484,73.87657
408,Pahal Samuel,Male,2002-02-06,Vadgaon Budruk S.O,411041,18.45823,73.81821
409,Dasya Narayan,Male,1991-05-12,S.P. College S.O,411030,18.5282,73.84735
410,Ishank Prasad,Male,2001-01-10,Dapodi Bazar S.O,411012,18.57995,73.82783
411,Ved Vish,Male,1998-06-06,Deccan Gymkhana S.O,411004,18.518060000000002,73.83615
412,Mirai Sehgal,Female,1989-12-01,Chinchwadgaon S.O,411033,18.63172,73.73346
413,Sarthak Kishore,Male,1987-03-13,N I B M S.O,411048,18.47298,73.89421
414,Rishaan Nara,Male,2001-01-24,Vadgaon Sheri S.O,411014,18.542820000000003,73.92344
415,Mehar Aggarwal,Female,1991-05-09,Parvati S.O,411009,18.49631,73.85621
416,Mayra Jai,Female,2000-07-23,Pimpri P F S.O,411018,18.57571,73.81074
417,Ryka Muthu,Female,1987-01-17,N.I.A. S.O,411045,18.55284,73.95387
418,Gian Chakrabarti,Male,2003-12-06,Vishrantwadi S.O,411015,18.60226,73.89806
419,Kashvi Srivastav,Female,1997-06-29,Parvati Gaon S.O,411009,18.49631,73.85621
420,Kashvi Chande,Female,1998-08-21,Market Yard S.O (Pune),411037,18.48193,73.87425
421,Larisa Chande,Female,1985-06-03,C M E S.O,411031,18.58289,73.8098
422,Rishit Kishore,Male,1986-06-30,Akurdi S.O,411035,18.76572,73.68905
423,Ved Veena,Male,1992-05-28,Rashtra Bhasha Bhavan S.O,411030,18.509420000000002,73.84063
424,Joseph Gandhi,Male,1985-03-25,Bajirao Road S.O,411002,18.50995,73.85375
425,Zara Rai,Female,1989-11-04,Ammunition Factory Khadki S.O,411003,18.57295,73.86363
426,Drishti Lalit,Female,1997-01-01,Kapad Ganj S.O,411002,18.51378,73.86019
427,Aarav Saini,Male,2002-05-08,Pimpri Colony S.O,411017,18.60755,73.78615
428,Prisha Malhotra,Female,1984-10-05,Khadki Arsenel S.O,411003,18.56312,73.84433
429,Kevin Meena,Male,2003-05-27,Anandnagar S.O (Pune),411051,18.62981,73.84746
430,Kahaan Patel,Male,1984-08-04,Film Institute S.O,411004,18.518060000000002,73.83615
431,Aahva Sharma,Male,2000-09-07,Pune City H.O,411002,18.51377,73.85991
432,Saisha Ganesh,Female,2002-12-23,C D A (O) S.O,411001,18.57571,73.81074
433,Saanvi Kapoor,Female,2002-11-30,Nehrunagar S.O (Pune),411018,18.62728,73.8388
434,Alex Pal,Male,1997-11-04,Sachapir Street S.O,411001,18.51141,73.87791999999999
435,Kaia Nirmal,Female,1995-03-09,Thathawade B.O,411033,18.63172,73.73346
436,Pahal Shan,Male,2001-08-10,Shivaji Housing Society S.O,411016,18.52501,73.82303
437,Adhira Neela,Female,1987-04-03,Pune R.S. S.O,411001,18.5114,73.87722
438,Nirav Charan,Male,1997-07-19,Guruwar Peth S.O,411042,18.505470000000003,73.85951
439,Navya Chandra,Female,1989-04-23,Armament S.O,411021,18.560679999999998,73.7626
440,Taksh Goel,Male,1985-09-26,Pimpri Waghire S.O,411017,18.60132,73.78156
441,Asmee Rana,Female,1987-08-22,Bajirao Road S.O,411002,18.50995,73.85375
442,Kabir Malik,Male,1988-02-02,N.C.L. Pune S.O,411008,18.536579999999997,73.7989
443,Pahal Subram,Male,1992-04-17,Iaf Station S.O,411032,18.55284,73.95387
444,Navya Rai,Female,1998-01-20,Range Hills S.O,411020,18.57462,73.82788000000001
445,Yug Rajagopal,Male,1999-07-05,Nehrunagar S.O (Pune),411018,18.62728,73.8388
446,Avni Chandrasekar,Female,1981-07-14,Ghorpade Peth S.O,411042,18.50139,73.86309
447,Asmee Goel,Female,1983-12-29,Bhosari I.E. S.O,411026,18.55284,73.95387
448,Sahana Nita,Female,1981-11-19,Hadpsar I.E. S.O,411013,18.50453,73.91255
449,Hem Veer,Male,1986-07-04,Punawale B.O,411033,18.63172,73.73346
450,Anaisha Chandra,Female,1981-03-19,Wanowarie S.O,411040,18.494770000000003,73.90127
451,Zuber Sudha,Male,1983-09-09,Bhavani Peth S.O,411042,18.506970000000003,73.87119
452,Ranbir Sharma,Male,1996-11-17,Bhosarigoan S.O,411039,18.55284,73.95387
453,Navya Kapoor,Female,1993-10-28,Market Yard S.O (Pune),411037,18.48193,73.87425
454,Laksh Mehra,Male,1992-08-11,S.S.C.Exam Board S.O,411005,18.53245,73.84654
455,Laksh Chander,Male,1987-02-07,Katraj S.O,411046,18.45938,73.86667
456,Luv Mati,Male,2002-12-12,Raviwar Peth S.O,411002,18.517689999999998,73.86014
457,Saloni Saini,Female,2003-11-30,Mangalwar Peth S.O (Pune),411011,18.5221,73.86273
458,Anushka Sudha,Female,1991-10-21,Khadakwasla R.S. S.O,411024,18.45597,73.78478
459,Rebecca Mahajan,Female,2000-09-11,N I B M S.O,411048,18.47298,73.89421
460,Kashvi Anand,Female,1996-06-26,Karvenagar S.O,411052,18.49,73.82244
461,Navya Tyagi,Female,1994-10-26,L.K. Path S.O,411003,18.54263,73.78494
462,Tanvi Ranga,Female,2000-12-14,Nana Peth S.O,411002,18.510089999999998,73.85672
463,Mirai Patel,Female,1998-09-13,9 DRD B.O,411014,18.54851,73.90514
464,Jash Dutta,Male,1982-09-12,Rasta Peth S.O,411011,18.5242,73.8578
465,Aarav Nara,Male,1990-12-28,N.W. College S.O,411001,18.53446,73.88304000000001
466,Rebecca Muthu,Female,1981-05-10,Pune H.O,411001,18.5358,73.891
467,Aahva Jai,Male,1998-12-11,Dighi Camp S.O,411015,18.55284,73.95387
468,Nimit Kishore,Male,2002-06-21,Dr.B.A. Chowk S.O,411001,18.52484,73.87657
469,Sneha Malhotra,Female,1986-10-31,Wanowarie S.O,411040,18.494770000000003,73.90127
470,Rohan Krishnamurthy,Male,1987-09-09,N.W. College S.O,411001,18.53446,73.88304000000001
471,Ishita Mehra,Female,1993-11-06,N.W. College S.O,411001,18.53446,73.88304000000001
472,Saloni Kishore,Female,1994-08-10,Khadki S.O,411003,18.56312,73.84433
473,Ayaan Narang,Male,1989-03-24,Mohamadwadi S.O,411060,18.47335,73.90957
474,Akanksh Madan,Male,1989-09-27,Govt. Polytechnic S.O,411016,18.530479999999997,73.83252
475,Mishka Veena,Female,1985-09-19,Nehrunagar S.O (Pune),411018,18.62728,73.8388
476,Nimit Krishnamurthy,Male,1982-09-23,Dhankawadi S.O,411043,18.46554,73.8487
477,Kabir Meena,Male,1997-05-25,N.C.L. Pune S.O,411008,18.536579999999997,73.7989
478,Avni Sai,Female,1989-12-21,Bhosari I.E. S.O,411026,18.55284,73.95387
479,Kairav Subramanian,Male,1987-04-26,Chinchwadga0n S.O,411033,18.55284,73.95387
480,Reyansh Saxena,Male,1985-11-20,Aundh T.S. S.O,411007,18.55144,73.82197
481,Krisha Nagpal,Female,1995-12-16,Narayan Peth S.O,411030,18.51553,73.8523
482,Dasya Patel,Male,2003-06-28,Shaniwar Peth S.O (Pune),411030,18.51384,73.84876
483,Ananya Mehta,Female,2001-04-23,N.D.A. Khadakwasla S.O,411023,18.44063,73.75898000000001
484,Laksh Swami,Male,1992-03-02,Deccan Gymkhana S.O,411004,18.518060000000002,73.83615
485,Yash Manju,Male,1983-01-06,Nana Peth S.O,411002,18.510089999999998,73.85672
486,Vivaan Manohar,Male,1998-11-12,Bajirao Road S.O,411002,18.50995,73.85375
487,Saloni Aggarwal,Female,1996-01-07,T.V. Nagar S.O,411037,18.46135,73.86633
488,Luv Chauhan,Male,1997-01-31,Rupeenagar S.O,412114,18.53325,73.89263000000001
489,Aaradhya Vijaya,Female,2000-07-12,Vadgaon Budruk S.O,411041,18.45823,73.81821
490,Vivaan Krishnamurthy,Male,1996-08-20,Mohamadwadi S.O,411060,18.47335,73.90957
491,Nimit Subramanian,Male,1992-03-04,Bhosari I.E. S.O,411026,18.55284,73.95387
492,Kairav Srivas,Male,2000-12-17,Dapodi S.O,411012,18.57749,73.83138000000001
493,Nirav Bhatt,Male,1992-08-10,Wakad B.O,411057,18.60557,73.76478
494,Kahaan Puri,Male,1987-03-10,Congress House Road S.O,411005,18.5282,73.84735
495,Zuber Sharma,Male,1996-09-28,Masulkar Colony S.O,411018,18.63374,73.8129
496,Kimaya Persaud,Female,1988-06-24,Wakad B.O,411057,18.60557,73.76478
497,Aadiv Mehra,Male,2000-11-27,9 DRD B.O,411014,18.54851,73.90514
498,Ishana Narayan,Female,1989-06-23,N.I.A. S.O,411045,18.55284,73.95387
499,Keya Arun,Female,1984-09-23,Yerwada S.O,411006,18.56318,73.87742
500,Ryka Sahni,Female,1983-10-07,Khadakwasla R.S. S.O,411024,18.45597,73.78478
501,Taksh Malik,Male,1983-07-13,Dr.B.A. Chowk S.O,411001,18.52484,73.87657
502,Ishana Veena,Female,1990-12-29,Vadgaon Budruk S.O,411041,18.45823,73.81821
503,Amoli Prasad,Female,1982-09-06,Kasarwadi S.O,411034,18.60373,73.82221
504,Vivaan Srivastav,Male,1996-08-11,Dhanori B.O,411015,18.5844,73.88738000000001
505,Zara Shan,Female,1988-08-21,Baner Road S.O,411007,18.553829999999998,73.80216
506,Mayra Joshi,Female,1981-07-17,N.D.A. Khadakwasla S.O,411023,18.44063,73.75898000000001
507,Kabir Shan,Male,1985-09-14,Hadapsar S.O,411028,18.50453,73.91255
508,Reyansh Aggarwal,Male,1982-11-28,Kasarwadi S.O,411034,18.60373,73.82221
509,Dasya Muthu,Male,2002-07-27,Navsahyadri S.O,411052,18.495279999999998,73.82775
510,Sadhil Goel,Male,1991-05-24,Bhavani Peth S.O,411042,18.506970000000003,73.87119
511,Nimit Chakrabarti,Male,1986-09-20,Swargate Chowk S.O,411042,18.506970000000003,73.87119
512,Pahal Vijaya,Male,1997-03-21,Rashtra Bhasha Bhavan S.O,411030,18.509420000000002,73.84063
513,Alex Chande,Male,1994-01-17,Nehrunagar S.O (Pune),411018,18.62728,73.8388
514,Reyansh Kishore,Male,1983-09-05,Bhosari I.E. S.O,411026,18.55284,73.95387
515,Rishit Narayan,Male,1997-02-18,Talwade B.O,412114,18.501060600000002,73.5137584
516,Rebecca Neela,Female,1991-04-13,T.V. Nagar S.O,411037,18.46135,73.86633
517,Kimaya Kumar,Female,1986-10-22,Navsahyadri S.O,411052,18.495279999999998,73.82775
518,Alex Sahni,Male,1983-03-01,Navsahyadri S.O,411052,18.495279999999998,73.82775
519,Viti Nath,Female,1992-03-24,Raviwar Peth S.O,411002,18.517689999999998,73.86014
520,Taara Prasad,Female,1995-12-19,Parvati Gaon S.O,411009,18.49631,73.85621
521,Kahaan Kumar,Male,1991-01-11,Thergaon B.O,411033,18.63172,73.73346
522,Gian Lata,Male,2002-10-19,Hadapsar S.O,411028,18.50453,73.91255
523,Aaradhya Soni,Female,2000-05-15,Lokmanyanagar S.O,411030,18.50825,73.84405
524,Rishaan Saxena,Male,1992-04-10,Kothrud S.O,411038,18.50767,73.78967
525,Rohan Sara,Male,1992-05-27,Kondhwa BK B.O,411048,18.48028,73.89846999999999
526,Avni Raji,Female,1984-04-26,Pune New Bazar S.O,411001,18.53446,73.88304000000001
527,Manan Sehgal,Male,2000-08-22,Deccan Gymkhana S.O,411004,18.518060000000002,73.83615
528,Mayra Kapoor,Female,1996-10-21,Kapad Ganj S.O,411002,18.51378,73.86019
529,Akanksh Mehra,Male,1992-12-10,East Khadki S.O,411003,18.55499,73.86108
530,Aarav Sai,Male,1994-05-07,Rupeenagar S.O,412114,18.53325,73.89263000000001
531,Asmee Srivastav,Female,1986-09-12,Raviwar Peth S.O,411002,18.517689999999998,73.86014
532,Ryka Kishore,Female,1983-07-11,N.W. College S.O,411001,18.53446,73.88304000000001
533,Taara Gandhi,Female,1997-12-01,Rupeenagar S.O,412114,18.53325,73.89263000000001
534,Ishita Saini,Female,1995-09-10,Shivajinagar S.O (Pune),411005,18.520220000000002,73.84337
535,Mishka Sandeep,Female,1986-03-15,Dighi Camp S.O,411015,18.55284,73.95387
536,Anushka Jindal,Female,1999-07-09,Yerwada T.S. S.O,411006,18.54429,73.87986
537,Ayaan Sara,Male,1992-12-10,M.Phulenagar S.O,411019,28.5779,77.31541
538,Mohammad Patel,Male,1991-04-22,Congress House Road S.O,411005,18.5282,73.84735
539,Anika Kishore,Female,1994-05-16,Swargate S.O,411042,18.506970000000003,73.87119
540,Taara Lata,Female,1986-03-19,Film Institute S.O,411004,18.518060000000002,73.83615
541,Naksh Mehta,Male,1988-11-18,Pimpri Colony S.O,411017,18.60755,73.78615
542,Kimaya Krishnamurthy,Female,1998-10-29,Film Institute S.O,411004,18.518060000000002,73.83615
543,Mahika Kumar,Female,1989-05-11,Sadashiv Peth S.O,411030,18.50825,73.84405
544,Amoli Rajagopal,Female,1990-07-08,Kapad Ganj S.O,411002,18.51378,73.86019
545,Raj Srivastav,Male,1991-10-28,Kondhwa Lh B.O,411048,18.48028,73.89846999999999
546,Rishit Dutta,Male,1997-01-26,Ganeshkhind S.O,411007,18.55144,73.82197
547,Luv Suri,Male,1989-07-21,Indrayaninagar S.O,411026,18.62923,73.83431999999999
548,Zuber Ganesh,Male,1998-03-07,Iaf Station S.O,411032,18.55284,73.95387
549,Sai Arun,Female,1994-10-26,Khondhwa KH B.O,411048,18.45756,73.89339
550,Jash Rana,Male,1987-05-20,Bibvewadi S.O,411037,18.48337,73.85561
551,Luv Mehra,Male,1985-07-11,Kasarwadi S.O,411034,18.60373,73.82221
552,Rudra Punj,Male,1995-10-03,Punawale B.O,411033,18.63172,73.73346
553,Kashvi Subram,Female,2002-04-08,Aundh T.S. S.O,411007,18.55144,73.82197
554,Yash Chakrabarti,Male,1999-08-04,Rasta Peth S.O,411011,18.5242,73.8578
555,Rachit Kishore,Male,1997-01-16,Dukirkline S.O,411014,18.60055,73.9608
556,Adhira Narayan,Female,1998-04-09,Indrayaninagar S.O,411026,18.62923,73.83431999999999
557,Pahal Lalit,Male,1996-10-22,Parvati S.O,411009,18.49631,73.85621
558,Alisha Narayan,Female,2002-03-31,Karvenagar S.O,411052,18.49,73.82244
559,Bhuv Raji,Male,1996-11-12,Ghorpuri Bazar S.O,411001,18.5259,73.89545
560,Krisha Sahni,Female,2000-02-21,9 DRD B.O,411014,18.54851,73.90514
561,Zuber Krishnamurthy,Male,1989-03-06,Baner Road S.O,411007,18.553829999999998,73.80216
562,Mohammad Samuel,Male,2000-07-11,Mangalwar Peth S.O (Pune),411011,18.5221,73.86273
563,Sai Manju,Female,1983-02-20,Ex. Serviceman Colony S.O,411038,18.48029,73.79853
564,Avni Sudha,Female,1983-12-17,N.I.A. S.O,411045,18.55284,73.95387
565,Neysa Sehgal,Female,2003-06-11,Nehrunagar S.O (Pune),411018,18.62728,73.8388
566,Drishti Srini,Female,1995-09-11,Bajirao Road S.O,411002,18.50995,73.85375
567,Nimit Narayan,Male,1986-10-17,Swargate Chowk S.O,411042,18.506970000000003,73.87119
568,Shanaya Mittal,Female,1996-02-28,C D A (O) S.O,411001,18.57571,73.81074
569,Taarush Chaudhary,Male,1996-03-08,Chinchwad East S.O,411019,18.62815,73.8318
570,Prisha Pawan,Female,1996-11-23,Bhusari Colony S.O,411038,18.50956,73.79646
571,Krisha Sudha,Female,1983-03-01,Talwade B.O,412114,18.501060600000002,73.5137584
572,Aahva Persaud,Male,1981-05-09,Katraj S.O,411046,18.45938,73.86667
573,Amoli Suri,Female,2000-10-01,Pune Weather S.O,411005,18.53245,73.84654
574,Manan Vish,Male,2002-02-15,Hadpsar I.E. S.O,411013,18.50453,73.91255
575,Jay Rastogi,Male,1992-09-07,Ex. Serviceman Colony S.O,411038,18.48029,73.79853
576,Saisha Malhotra,Female,1995-02-06,Guruwar Peth S.O,411042,18.505470000000003,73.85951
577,Larisa Rajan,Female,1999-01-10,Hadapsar S.O,411028,18.50453,73.91255
578,Sarthak Rajagopal,Male,1994-01-16,Anandnagar S.O (Pune),411051,18.62981,73.84746
579,Laksh Joshi,Male,1997-01-13,Khadki Arsenel S.O,411003,18.56312,73.84433
580,Ranbir Verma,Male,2000-02-10,Mundhva AV S.O,411036,18.53135,73.91478000000001
581,Dasya Rajan,Male,1985-02-01,Punawale B.O,411033,18.63172,73.73346
582,Dasya Gandhi,Male,1984-02-18,N.C.L. Pune S.O,411008,18.536579999999997,73.7989
583,Mayra Jindal,Female,1991-10-03,Ghorpuri Bazar S.O,411001,18.5259,73.89545
584,Vihaan Raje,Male,1983-09-26,Shaniwar Peth S.O (Pune),411030,18.51384,73.84876
585,Aahva Narayan,Male,1997-01-14,Pune Weather S.O,411005,18.53245,73.84654
586,Idhant Rastogi,Male,1982-10-25,Dhanori B.O,411015,18.5844,73.88738000000001
587,Hiya Mehta,Female,2001-06-08,Khondhwa KH B.O,411048,18.45756,73.89339
588,Rachit Persaud,Male,1985-03-08,Baner Road S.O,411007,18.553829999999998,73.80216
589,Pahal Patel,Male,1988-02-20,Chinchwadgaon S.O,411033,18.63172,73.73346
590,Avni Pal,Female,1993-01-04,Swargate S.O,411042,18.506970000000003,73.87119
591,Mishka Lal,Female,1987-06-25,Pune Weather S.O,411005,18.53245,73.84654
592,Hiya Raman,Female,1983-08-11,Thergaon B.O,411033,18.63172,73.73346
593,Dasya Rastogi,Male,1988-12-08,Vadgaon Budruk S.O,411041,18.45823,73.81821
594,Ishana Nigam,Female,1984-07-05,Aundh T.S. S.O,411007,18.55144,73.82197
595,Sadhil Srivas,Male,1990-05-09,Thergaon B.O,411033,18.63172,73.73346
596,Akanksh Kumar,Male,1983-10-16,N.C.L. Pune S.O,411008,18.536579999999997,73.7989
597,Kairav Goel,Male,1986-04-02,Narayan Peth S.O,411030,18.51553,73.8523
598,Adah Sahni,Female,1989-08-31,Kalewadi B.O,411017,18.618920000000003,73.79878000000001
599,Rebecca Tyagi,Female,1993-03-28,Vishrantwadi S.O,411015,18.60226,73.89806
600,Luv Arun,Male,1998-09-22,Khadki S.O,411003,18.56312,73.84433
